Year,Life Expectancy
1960,71.1268292682927
1961,70.8780487804878
1962,70.9268292682927
1963,70.8268292682927
1964,71.6243902439024
1965,71.6243902439024
1966,71.5731707317073
1967,72.1243902439024
1968,71.7243902439025
1969,71.7219512195122
1970,71.9731707317073
1971,72.2731707317073
1972,72.1243902439024
1973,72.3243902439024
1974,72.5243902439024
1975,72.7243902439024
1976,72.7756097560976
1977,73.2243902439024
1978,73.1756097560976
1979,73.2756097560976
1980,73.6756097560976
1981,74.0268292682927
1982,74.1780487804878
1983,74.3780487804878
1984,74.7780487804878
1985,74.6292682926829
1986,74.9292682926829
1987,75.280487804878
1988,75.3804878048781
1989,75.5829268292683
1990,75.8804878048781
1991,76.0829268292683
1992,76.4341463414634
1993,76.3853658536585
1994,76.8853658536585
1995,76.8365853658537
1996,77.0878048780488
1997,77.2109756097561
1998,77.190243902439
1999,77.390243902439
2000,77.7414634146342
2001,77.9926829268293
2002,78.1439024390244
2003,78.4463414634146
2004,78.7463414634146
2005,79.0487804878049
2006,79.2487804878049
2007,79.4487804878049
2008,79.6
2009,80.0512195121951
2010,80.4024390243902
2011,80.9512195121951
2012,80.9048780487805
2013,81.0048780487805
2014,81.3048780487805
2015,80.9560975609756
2016,81.1560975609756
2017,81.2560975609756
2018,81.2560975609756
2019,81.4048780487805
2020,80.3512195121951
2021,80.7
2022,82.0585365853659
2023,
